2018/10/02/14:03:24.847756;;;289;-1647;15745;150;102;-20;-597;-176;1162;225;190;31;0
2018/10/02/14:03:24.860678;;;305;-1743;16001;6;36;-10;-597;-176;1162;54;191;31;0
2018/10/02/14:03:24.872722;;;305;-1759;15889;-2;104;-36;-597;-176;1162;122;191;31;0
2018/10/02/14:03:24.888759;;;337;-1839;15761;-18;76;-150;-565;-156;1175;190;191;31;0
2018/10/02/14:03:24.901757;;;49;-1727;16097;16;-94;-14;-565;-156;1175;2;192;31;0
2018/10/02/14:03:24.913758;;;225;-1695;15793;-98;-78;-68;-610;-143;1222;70;192;31;0
2018/10/02/14:03:24.925753;;;273;-1919;15825;90;72;-102;-610;-143;1222;138;192;31;0
2018/10/02/14:03:24.942758;;;225;-1967;15825;-88;-36;-4;-610;-143;1222;206;192;31;0
2018/10/02/14:03:24.954707;;;337;-1695;15649;-54;46;-22;-616;-176;1209;18;193;31;0
2018/10/02/14:03:24.966758;;;401;-1887;15761;94;44;26;-616;-176;1209;86;193;31;0
2018/10/02/14:03:24.978755;;;545;-2047;15681;-62;-18;-34;-629;-143;1175;154;193;31;0
2018/10/02/14:03:24.995737;;;465;-1807;15889;-100;-96;84;-629;-143;1175;222;193;31;0
2018/10/02/14:03:25.007754;;;289;-1887;15921;-106;-38;6;-629;-143;1175;34;194;31;0
2018/10/02/14:03:25.019752;;;193;-1999;15873;54;-58;2;-642;-196;1182;102;194;31;0
2018/10/02/14:03:25.032696;;;305;-1823;15905;-42;-30;0;-642;-196;1182;170;194;31;0
2018/10/02/14:03:25.048755;;;465;-2111;15793;-16;62;-14;-584;-130;1121;238;194;31;0
2018/10/02/14:03:25.060676;;;321;-1887;15905;74;114;38;-584;-130;1121;50;195;31;0
2018/10/02/14:03:25.073771;;;401;-1967;15889;-12;-62;26;-584;-130;1121;135;195;31;0
2018/10/02/14:03:25.085757;;;465;-1807;16017;78;-62;-26;-578;-156;1162;203;195;31;0
2018/10/02/14:03:25.101737;;;385;-1903;15777;-72;34;-40;-578;-156;1162;15;196;31;0
2018/10/02/14:03:25.114757;;;609;-1999;15953;4;-24;-74;-597;-176;1162;83;196;31;0
2018/10/02/14:03:25.126680;;;353;-2175;16113;40;-50;62;-597;-176;1162;151;196;31;0
2018/10/02/14:03:25.138765;;;513;-2047;15937;-52;-8;46;-597;-176;1162;219;196;31;0
2018/10/02/14:03:25.150680;;;545;-1935;16113;-70;-50;-78;-597;-150;1216;31;197;31;0
2018/10/02/14:03:25.167763;;;417;-1967;16097;-80;-36;60;-597;-150;1216;99;197;31;0
2018/10/02/14:03:25.179763;;;641;-1903;16065;2;-68;98;-610;-143;1202;167;197;31;0
2018/10/02/14:03:25.191761;;;465;-1871;16209;-44;30;-2;-610;-143;1202;235;197;31;0
2018/10/02/14:03:25.204760;;;401;-1823;16113;0;84;-68;-610;-143;1202;47;198;31;0
2018/10/02/14:03:25.220685;;;417;-1807;16033;10;-16;8;-597;-169;1182;115;198;31;0
2018/10/02/14:03:25.232755;;;305;-1807;15841;42;0;46;-597;-169;1182;183;198;31;0
2018/10/02/14:03:25.245758;;;465;-1775;15953;-58;-42;26;-603;-163;1162;251;198;31;0
2018/10/02/14:03:25.257762;;;513;-1919;15841;88;48;-20;-603;-163;1162;63;199;31;0
2018/10/02/14:03:25.273759;;;225;-1903;15969;-26;64;32;-603;-163;1162;131;199;31;0
2018/10/02/14:03:25.286765;;;225;-2095;15937;-10;-90;72;-623;-183;1128;216;199;31;0
2018/10/02/14:03:25.298762;;;97;-2111;15809;24;50;-102;-623;-183;1128;28;200;31;0
2018/10/02/14:03:25.310684;;;193;-2031;15761;50;-12;-32;-674;-137;1189;96;200;31;0
2018/10/02/14:03:25.327776;;;353;-1903;15713;-22;-42;126;-674;-137;1189;164;200;31;0
2018/10/02/14:03:25.339763;;;209;-1807;16097;-12;-62;120;-674;-137;1189;232;200;31;0
2018/10/02/14:03:25.351743;;;161;-1727;15601;38;-32;-80;-616;-130;1155;44;201;31;0
2018/10/02/14:03:25.363760;;;257;-1599;15585;52;0;-64;-616;-130;1155;112;201;31;0
2018/10/02/14:03:25.380673;;;257;-1551;15569;42;88;62;-578;-189;1168;180;201;31;0
2018/10/02/14:03:25.392766;;;177;-1631;15537;40;14;98;-578;-189;1168;248;201;31;0
2018/10/02/14:03:25.404759;;;241;-1663;15601;-26;46;-240;-578;-189;1168;60;202;31;0
2018/10/02/14:03:25.417764;;;209;-1599;15585;-26;30;6;-578;-156;1189;128;202;31;0
2018/10/02/14:03:25.429765;;;241;-1791;15521;-70;-104;-56;-578;-156;1189;196;202;31;0
2018/10/02/14:03:25.445759;;;561;-1903;15553;-40;-64;-6;-616;-163;1148;8;203;31;0
2018/10/02/14:03:25.458766;;;401;-1855;15905;-22;14;0;-616;-163;1148;76;203;31;0
2018/10/02/14:03:25.470684;;;401;-1807;15889;42;-90;16;-616;-163;1148;144;203;31;0
2018/10/02/14:03:25.482763;;;353;-2047;16193;-98;-66;8;-597;-150;1189;229;203;31;0
2018/10/02/14:03:25.499766;;;721;-1967;16321;78;-28;28;-597;-150;1189;41;204;31;0
2018/10/02/14:03:25.511764;;;705;-2143;16049;98;-74;-110;-603;-189;1148;109;204;31;0
2018/10/02/14:03:25.523761;;;593;-2111;16113;26;88;84;-603;-189;1148;177;204;31;0
2018/10/02/14:03:25.535763;;;513;-1903;16193;-14;2;-182;-603;-189;1148;245;204;31;0
2018/10/02/14:03:25.552763;;;593;-2063;16401;-92;16;-108;-584;-143;1202;57;205;31;0
2018/10/02/14:03:25.564762;;;433;-2063;15985;-58;56;-110;-584;-143;1202;125;205;31;0
2018/10/02/14:03:25.576761;;;465;-2207;16097;-38;-4;8;-571;-183;1189;193;205;31;0
2018/10/02/14:03:25.589767;;;257;-2255;15825;16;96;88;-571;-183;1189;5;206;31;0
2018/10/02/14:03:25.605762;;;353;-2143;16113;60;100;-58;-571;-183;1189;73;206;31;0
2018/10/02/14:03:25.617767;;;257;-2303;15969;0;34;-36;-603;-176;1209;141;206;31;0
2018/10/02/14:03:25.630687;;;481;-2095;16049;6;-50;-20;-603;-176;1209;209;206;31;0
2018/10/02/14:03:25.642763;;;417;-2015;15841;24;40;-20;-603;-169;1175;21;207;31;0
2018/10/02/14:03:25.658768;;;353;-1823;15761;34;36;-50;-603;-169;1175;89;207;31;0
2018/10/02/14:03:25.671768;;;321;-1775;15761;-12;64;44;-603;-169;1175;157;207;31;0
2018/10/02/14:03:25.683763;;;513;-1839;15729;-58;-2;28;-629;-183;1175;242;207;31;0
2018/10/02/14:03:25.695761;;;465;-2015;15681;-32;64;94;-629;-183;1175;54;208;31;0
2018/10/02/14:03:25.712744;;;321;-2015;15729;6;48;-152;-623;-176;1189;122;208;31;0
2018/10/02/14:03:25.724765;;;273;-1983;15761;-32;-12;30;-623;-176;1189;190;208;31;0
2018/10/02/14:03:25.736688;;;145;-2143;15649;66;-8;0;-623;-176;1189;2;209;31;0
2018/10/02/14:03:25.748767;;;225;-2015;15633;-56;64;24;-591;-176;1209;70;209;31;0
2018/10/02/14:03:25.761739;;;289;-2095;15601;-60;-104;140;-591;-176;1209;138;209;31;0
